phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
JSE,,H0555,William Bridges-Maxwell,Crawford,William,William,Bridges-Maxwell,,,Male,1929-09-27,"Hobart, TAS",1992-04-15
IYU,,H1061,Jamie Briggs,Jamie,Edward,Jamie,Briggs,the Hon.,,Male,1977-06-09,"Kyneton, VIC"
JSG,,H0451,Wilfred Brimblecombe,Wilfred,John,Wilfred,Brimblecombe,,OBE,Male,1898-02-06,"Laidley, QLD",1973-09-14
30379,,H1094,Andrew Broad,Andrew,John,Andrew,Broad,,,Male,1975-07-02,"Carnarvon, WA"
MT4,,H0821,Russell Broadbent,Russell,Evan,Russell,Broadbent,,,Male,1950-12-25,"Kooweerup, VIC"
30540,,H1068,Gai Brodtmann,Gai,Marie,Gai,Brodtmann,,,Female,1963-11-24,"Melbourne, VIC"
2K6,,H0893,Mal Brough,Malcolm,Thomas,Mal,Brough,the Hon.,,Male,1961-12-29,"Brisbane, QLD"
5A5,,H0709,Bob Brown,Robert,James,Bob,Brown,the Hon. ,,Male,1933-12-02,"Pelaw Main, NSW"
QD4,S0457,,Bob Brown,Robert,James,Bob,Brown,,,Male,1944-12-27,"Oberon, NSW"
F49,S0513,,Carol Brown,Carol,Louise,Carol,Brown,,,Female,1963-07-19,"Hobart, TAS"
JSI,,H0393,Geoffrey Brown,Geoffrey,William,Geoffrey,Brown,,MBE,Male,1894-04-25,"Colac, VIC",1955-10-14
K6P,S0143,,Gordon Brown,Gordon,,Gordon,Brown,The Hon.,,Male,1885-02-11,"Derbyshire, England",1967-01-12
OD4,,H0696,John Brown,John,Joseph,John,Brown,The Hon.,AO,Male,1931-12-19,"Sydney, NSW"
JSK,,H0099,Joseph Brown,Joseph,Tilley,Joseph,Brown,,,Male,1843-02-07,"Saint John, England",1925-09-28
PD4,,H0587,Neil Brown,Neil,Anthony,Neil,Brown,The Hon.,QC,Male,1940-02-22,"Melbourne, VIC"
JSM,,H0003,Thomas Brown,Thomas,,Thomas,Brown,the Hon. ,,Male,1861-10-06,"Forbes, NSW",1934-03-23
K3A,S0292,,William Brown,William,Walter Charles,William,Brown,,,Male,1920-12-04,"Brunswick, VIC",2001-06-26
JSO,,H0561,Kay Brownbill,Kay,Cathrine Millin,Kay,Brownbill,,OBE,Female,1914-07-21,"Adelaide, SA",2002-02-03
JSQ,,H0496,Peter Browne,Peter,Grahame,Peter,Browne,,,Male,1924-07-15,"Sydney, NSW",2000-09-11
RD4,S0380,,David Brownhill,David,Gordon Cadell,David,Brownhill,the Hon.,,Male,1935-11-16,"Mudgee, NSW"
JSS,,H0452,Harry Bruce,Henry,Adam,Harry,Bruce,The Hon.,,Male,1884-05-16,"Wandiligong, VIC",1958-10-11
F4B,,H0185,Stanley Bruce,Stanley,Melbourne,Stanley,Bruce,Rt. Hon.,"PC, CH, MC",Male,1883-04-15,"St Kilda, VIC",1967-08-25
1F4,,H0742,John Brumby,John,Mansfield,John,Brumby,,,Male,1953-04-21,"Melbourne, VIC"
JSU,,H0474,Gordan Bryant,Gordon,Munro,Gordan,Bryant,The Hon.,ED,Male,1914-08-03,"Lismore, VIC",1991-01-14
JSW,,H0355,Bill Bryson,William,George,Bill,Bryson,,,Male,1898-02-24,"Maldon, VIC",1973-03-02
JSY,,H0475,Alexander Buchanan,Alexander,Andrew,Alexander,Buchanan,,,Male,1905-10-04,"Melbourne, VIC",1985-09-10
230531,,H1069,Scott Buchholz,Scott,Andrew,Scott,Buchholz,,,Male,1968-03-27,"Rockhampton, QLD"
009D2,S0482,,Geoffrey Buckland,Geoffrey,Frederick,Geoffrey,Buckland,,,Male,1947-11-10,"Sydney, NSW"
K3J,S0270,,Thomas Bull,Thomas,Louis,Thomas,Bull,,OBE  ,Male,1905-09-07,"Wagga Wagga, NSW",1976-08-11
243237,S0560,,Joe Bullock,Joseph,Warrington,Joe,Bullock,,,Male,1955-04-13,"Sydney, NSW"
JT9,,H0642,Melville Bungey,Melville,Harold,Melville,Bungey,,,Male,1934-08-30,"Gnowangerup, WA"
K3N,S0325,,Cleaver Bunton,Cleaver,Ernest,Cleaver,Bunton,,OBE  ,Male,1902-05-05,"Albury, NSW",1999-01-20
JTC,,H0149,Reginald Burchell,Reginald,John,Reginald,Burchell,,MC  ,Male,1883-05-20,"Port Pirie, SA",1955-06-20
83S,,H0940,Anna Burke,Anna,Elizabeth,Anna,Burke,,,Female,1966-01-01,"Melbourne, VIC"
JTF,,H0356,Tom Burke,Thomas,Patrick,Tom,Burke,,,Male,1910-08-28,"Moora, WA",1973-01-17
DYW,,H1001,Tony Burke,Anthony,Stephen,Tony,Burke,the Hon.,,Male,1969-11-04,"Sydney, NSW"
2F4,S0397,,Bryant Burns,Bryant,Robert,Bryant,Burns,,,Male,1929-03-24,"Rockhampton, QLD"
JTI,,H0150,George Burns,George,Mason,George,Burns,,,Male,1869-04-19,"Mogo, NSW",1932-08-15
JTM,,H0697,William Burns,William,George,William,Burns,,,Male,1933-10-22,"Donaghadee, Northern Ireland",2009-03-16
3F4,,H0666,Maxwell Burr,Maxwell,Arthur,Maxwell,Burr,,,Male,1939-01-09,"Cressy, TAS"
JTP,,H0491,Leslie Bury,Leslie,Harry Ernest,Leslie,Bury,The Hon.,,Male,1913-02-25,"London, England",1986-09-07
